site_id (provided geohash), actual geohash, lat, lon
gcnhsk2yzub8, gcnhsk2yzu8e, 51.440545, -2.624369
gcqfydrhb9q5, gcqfydrhb9nr, 52.52783, -1.462525
gcpqrk38f7ps, gcpqrk38f7pf, 51.747124, -0.733917
u10nhp3xvjpq, u10nhp3xvjnv, 51.720871, 0.178065
gcw527se603u, gcw527se6067, 54.028575, -2.795245
gcjyg47qu66q, gcjyg47qu66b, 51.825054, -3.027577
gcpx5z8rjuf6, gcpx5z8rjuff, 51.897895, -0.537736
gcjcktmg38u4, gcjcktmg38u6, 50.874128, -2.958342
gcntkbrkv7tc, gcntkbrkv7qp, 51.550059, -1.890445
gcwbhr2r9f97, gcwbhr2r9f3y, 53.478626, -1.570624
gcpg2wfq78y5, gcpg2wfq78y9, 51.234445, -0.326341
gcybpmfsw090, gcub4mbs92x8, 54.876111, -4.470685
gcnsx0pswt0n, gcy8pjzsw882, 54.876111, -1.7911788
gcqfy06jj1z5, gcqfy06jj1z4, 52.5168898, -1.4911698
gcjneqcvz6p9, gcjneqcvz9bn, 51.8056545, -4.0732025
gchw001y5tyk, gchw001y5tyt, 51.6807492, -4.9193127
gcqfvchtgemj, gcqfvchtgemp, 52.5211474, -1.49879
gcrj8fqknbs9, gcrj8fqknbsd, 53.0110963, -1.364412
gcpzc5d8cvtj, gcpzc5d8cvv2, 52.0066904, -0.3041018
gcnb8z091zcm, gcnb8z091zcn, 50.7515571, -1.7240903
gcmxn5r8x3w5, gcmxn5r8x3wk, 53.2796661, -3.2413339
gbvnc931wh2h, gbvnc931wh25, 50.4124207, -4.1512012
gcr4r5etj0sq, gcr4r5etj0sr, 52.4468462, -1.0936058
gchyc91rwrr0, gchyc91rwrr9, 51.8183432, -4.5023995
gcqmyg3h9nkb, gcqmyg3h9njn, 53.0606507, -2.1628836
gcmbgnvhhtfu, gcmbgnvhhtg5, 52.2008829, -3.0251629
gcjpqyrvj006, gcjpqyrvj003, 51.9346049, -3.9112611
gbvnd952hze6, gbvnd952hze3, 50.3668617, -4.1042152
gcwh32e2ycd9, gcwh32e2yc6r, 54.1874536, -2.7528124
gcpxyqfz7d0z, gcpxyqfz7d0s, 52.0256396, -0.4245391
gcr5w40s7k85, gcr5w40s7k8h, 52.6582252, -1.141752
gcnrj1d6fj8v, gcnrj1d6fj9q, 51.8642112, -2.2380335
gchqwwcu8xgv, gchqwwcu8xuj, 51.8054719, -4.9853626
gcr8wj2drbjy, gcr8wj2drbnp, 52.1483672, -0.4384256
gcvqetnpzrb0, gcvqetnpzrb1, 56.0151661, -3.7048278
gcm95h88yfqs, gcm95h88yfqd, 52.2318917, -3.382804
gcn3sces4ymp, gcn3sces4ymk, 50.8976325, -2.2472656
gcqz3tb18y23, gcqz3tb18y0q, 53.3375405, -1.6918617
gcr1267nkvqs, gcr1267nkvq9, 52.2644375, -1.3909309
gcnhsmn3hpcr, gcnhsmn3k010, 51.4436961, -2.6169763
gfnmncrzfhm0, gfnmncrzfhkb, 57.1371259, -2.1535712
u130buw5mpg6, u130buw5mpgs, 52.1884054, 1.4476683
gchyuw87yy5q, gchyuw87yy55, 51.8479055, -4.3719214
gcw527h9bqs9, gcw527h9bqs8, 54.0256039, -2.7953168
gcnrjnyf35nb, gcnrjnyf34zp, 51.8929498, -2.2318888
gcrp6w0h4bfc, gcrp6w0h4bfd, 53.3393142, -1.2962651
gcrwuvyx5kmf, gcrwuvyx5km9, 53.2505838, -0.4853114
