site_id (provided geohash), actual geohash, lat, lon
gcqfn1wd5k4j, gcqfn1wdqk9d, 52.391463, -1.484944
gcjw4hhp6ywh, gcjw4hpgvt0p, 51.702332, -3.416855
gfj6057mn7se, gfj6057mj0v4, 56.620278, -3.862503
gcw3f404j0sc, gcw3f404j0mk, 53.756449, -2.372825
gcnvgfzs2pgq, gcnvu4g0j7eu, 51.650868, -1.577681
gcrn076n5e8h, gcrn0jp7bdb1, 53.114062, -1.396272
gctbkcge1y1u, gctbkct1z3zb, 53.489995, -2.948134
u10j2f87ut0h, u10j2f8k537z, 51.562279, 0.033447
gcvr1zcguq8c, gcvr3bjz1w3u, 56.1194, -3.78232
gcqrdrnfh9nk, gcqrdrp7zhwe, 53.38873, -2.351795
gcqrksxqfqs8, gcqrksys52vh, 53.332448, -2.254111
gcqrf0z0djjt, gcqrf0y5r88j, 53.398236, -2.364485
gcwfmhm1kf01, gcwfmhm1k2dm, 53.856572, -1.531034
gcng0h8cf4v2, gcng0h8cf4tx, 51.177378, -1.756689
gcyck033zj0b, gcyck039ufr5, 55.065163, -1.579758
gfn1sw82gxsx, gfn1sw9t7087, 56.550282, -2.612557
gcusd2vbmqxg, gcusd2ety642, 55.63851, -4.81792
gcvmujb97yvx, gcvmujbdrcvf, 55.886474, -3.690379
gcwfh1sjpc9d, gcwfh1sj6eu6, 53.798224, -1.576425
gcrjw35ngpww, gcrjw36kw20x, 53.005687, -1.128233
gcps2xp0j8gn, gcps2wyq2zm2, 51.410261, -0.67253
gcycunp936gs, gcycunp6h2b6, 55.184674, -1.571892
gcw822dkfw37, gcw8226tbhkg, 53.483829, -2.094949
gcw227f137e4, gcw227f1377x, 53.502278, -2.447146
gcrpd69644rh, gcrpd69644r1, 53.363698, -1.305561
gcqdsgr183jg, gcqdsgr190qx, 52.488816, -1.89097
gcuex7v522d1, gcuex7v57q49, 55.480174, -4.596262
gcexrrxsjt5h, gcexrrxsmb7p, 54.753845, -5.998971
gcg81k9xve76, gcg81k9xvehp, 54.869817, -6.270892
gcr01ccvbz80, gcr01f165hke, 52.042603, -1.327494
gcmne91eyyy3, gcmndt6kve4c, 53.203499, -4.105557
gcmnccpwj6yf, gcmnccpq6zxx, 53.224381, -4.131761
gcwbwqmvqkzc, gcwbwqr3en7n, 53.560015, -1.473065
gcj4e6qg3fzb, gcj4e6pqd1ry, 51.076563, -4.065875
gcqpnb6c70xz, gcqpnb6kucp9, 53.263913, -2.512565
gcuvkn6f6ddu, gcuvkn4nuryn, 55.800762, -4.391594
gcw633rdurqc, gcw633rehjtx, 53.84042, -2.395527
gcteyke66d8h, gcteyke63t00, 54.121812, -3.236439
gcjsmkt55ek2, gcjsmsd4sg87, 51.397238, -3.270975
u10m6eckyrvs, u10m67zmf3fe, 51.569448, 0.460496
gcn8t3q6ku0d, gcn8t3q9s0v6, 50.720019, -1.869557
gcppsu00f9ys, gcppsdu0nb54, 51.958466, -1.202709
gcq59nnuq9um, gcq59nqr24ub, 52.682076, -2.759965
gcwcukh7f4v1, gcwcu7v3040n, 53.7659, -1.563835
gcpqjpdmdxdk, gcpqjpdm85q9, 51.721848, -0.831862
gcpedgy96sdd, gcpedgy2dch8, 51.260925, -0.573568
gcpv8c9p6urb, gcpv8c9p5pnr, 51.601277, -0.317093
gcycj00tb2s9, gcycj00vyn31, 55.020552, -1.536797
