site_id (provided geohash), actual geohash, lat, lon
gcw2trbpdxqk, gcw2trbpf9m3, 53.5693, -2.23011
gcw2tpw2ny66, gcw2tpw2n9yx, 53.5666, -2.23234
gcwh1z1981dv, gcwh1z1921s3, 54.1793, -2.73353
gcphdjvyq1jg, gcphdjvyqhu1, 51.4487, -1.3102
gcj890m7sguk, gcj890m7sysd, 50.7149, -3.46426
gcx17pq0g9es, gcx17pq0gee4, 53.6972, -1.26602
gcw4cpmkbyxj, gcw4cpmm1536, 53.9616, -2.7613
gcw4cpx1v5g0, gcw4cpx1v0mq, 53.9624, -2.75872
gcqd60d0b93w, gcqd60d089ud, 52.4296, -2.01871
gcqd60784dv9, gcqd605xfdpy, 52.4281, -2.01656
gcpszjnnqfbv, gcpszjnnqb14, 51.4885, -0.386977
gcpszj09wq95, gcpszj09w6cm, 51.4877, -0.394551
gcqe3psgdu8q, gcqe3psgfeqy, 52.6444, -2.05879
gcqe3pr883b3, gcqe3pr8b1r2, 52.6425, -2.05512
gcvxc8x4dmsj, gcvxc8x4fkvx, 56.2093, -3.43999
gcqr1r4n9f4s, gcqr1r4n9f7p, 53.3013, -2.40318
gcqr1rh1hbn9, gcqr1rh0ubnd, 53.3003, -2.4003
gcnmncq7fjey, gcnmncq7dhvv, 51.5114, -2.15563
gcnmnbcpg9cg, gcnmnc105847, 51.5094, -2.16278
u10kjfe9dtx5, u10kjfe96tnu, 51.3421, 0.609171
u10kjf4nvkuj, u10kjf4nvmef, 51.3403, 0.607225
gcnjs65s90t8, gcnjs65sc060, 51.6036, -2.62088
gctzwxukfm55, gctzwxum43gt, 54.7993, -2.87248
gctzwxwsp6eh, gctzwxwsr623, 54.7978, -2.86918
gcvpnb2wbsx3, gcvpnb2x0c0j, 56.0768, -3.9214
gcjjvpe5uckz, gcjjvpe5ufz5, 51.6776, -3.99469
gcpxs8b3xmmc, gcpxs8b3z7v9, 51.9478, -0.504709
gcpxs8fujt9x, gcpxs8fujw3g, 51.9482, -0.501356
gcrj71t43jzk, gcrj71t49mdb, 52.9628, -1.26749
gcrj71mfbb5k, gcrj71mf8bs0, 52.9614, -1.26648
gcybk82nyeds, gcybk82nw6zt, 54.8902, -1.55978
gcybk81phm6x, gcybk81ph2d4, 54.8889, -1.5585
gcwchc8j0fcr, gcwchc8j0gb5, 53.6224, -1.54904
gcwchc39n49k, gcwchc38yh7s, 53.6203, -1.54675
gcrt0x1sscpv, gcrt0x1ssgxf, 52.9494, -0.678878
gcpfee8n5w4y, gcpfee8jgw6c, 51.0847, -0.1976
gcrhd0ngnp51, gcrhd0ngn59e, 52.8228, -1.30883
gcx2ckndt6w4, gcx2ckndv7w5, 53.5918, -0.990596
gcqpwcy97rur, gcqpwcy9e7dr, 53.3595, -2.5068
gcjfez740k83, gcjfez71b5vt, 51.1046, -2.99514
gcj9etjc2ccq, gcj9etjc88yk, 50.9164, -3.35389
gcn7mgyp081h, gcn7mgyp09be, 51.2181, -2.19999
gbuyzdepdrfy, gbuyzdepd3hs, 50.4203, -4.2365
gcx4bu652mnj, gcx4bu650rdf, 53.9448, -1.37053
gcwuukfhm95m, gcwuukfhme1t, 54.2993, -1.56806
gcwvf5k6q98t, gcwvf5k6q7t2, 54.4665, -1.66381
gcr45th3dcmx, gcr45th36cm4, 52.4105, -1.24648
